"","venue_id","lat","lon","cat","top_cat","name","users","checkins","nom_qr","nom_arr"
"5420","4c7a2802278eb713d3785780",45.455193,-73.755,"Gate","Travel & Transport","Gate 84",121,150,"Dorval",NA
"5423","4ad8ade8f964a520a81321e3",45.502514,-73.57134,"Mall","Shops & Services","Centre Eaton",3401,10819,"René-Lévesque","Ville-Marie"
"5426","4cab4ecb36fa6dcb70d7d778",45.58336,-73.54271,"Chinese","Food","Nouilles Etc",24,45,"Longue-Pointe","Mercier–Hochelaga-Maisonneuve"
"5427","4c8d7d725e38b1f7f6c73af9",45.500233,-73.57312,"Gastropub","Food","Plaisirs Coupables",201,327,"René-Lévesque","Ville-Marie"
"5428","4ccb5933ba0a5481ed063659",45.48243,-73.56711,"Sports Bar","Nightlife Spots","Brasserie Capri",21,25,"Pointe-Saint-Charles","Le Sud-Ouest"
"5429","4b7c5838f964a520c28d2fe3",45.484554,-73.86036,"Grocery Store","Shops & Services","Provigo",36,145,"Pierrefonds-Ouest","Pierrefonds-Roxboro"
"5430","4b676752f964a520ce4c2be3",45.499218,-73.61806,"University","Colleges & Universities","Pavillon Lionel-Groulx",97,317,"Édouard-Montpetit","Côte-des-Neiges–Notre-Dame-de-Grâce"
"5431","4b292bbbf964a520429a24e3",45.51782,-73.5581,"Vietnamese","Food","Pho 21",61,81,"René-Lévesque","Ville-Marie"
"5434","4c7540922db5236a7d6abc79",45.322407,-73.263985,"Diner","Food","La Belle Province",4,4,NA,NA
"5435","4adf0b0ef964a5203d7721e3",45.501278,-73.556335,"Sandwiches","Food","Olive et Gourmando",1257,2852,"Vieux-Montréal","Ville-Marie"
"5436","4bf723f9b182c9b67140755a",45.496258,-73.56624,"Board Shop","Shops & Services","EMPIRE Skateboard Snowboard",49,104,"Vieux-Montréal","Ville-Marie"
"5437","4d768a61d6688cfa2ffb1e15",45.57115,-73.51844,"Home","Residences","Maggie's Dog House",2,17,"Guybourg","Mercier–Hochelaga-Maisonneuve"
"5438","4b6e27b7f964a5205dae2ce3",45.68663,-73.43167,"Coffee Shop","Food","Tim Hortons",33,202,NA,NA
"5439","4ba67966f964a520285639e3",45.48473,-73.85952,"Pharmacy","Shops & Services","Pharmaprix",50,188,"Pierrefonds-Ouest","Pierrefonds-Roxboro"
"5440","4b664a16f964a520751c2be3",45.48427,-73.808945,"Skating Rink","Outdoors & Recreation","Civic Center",134,387,"Dollard-Des Ormeaux",NA
"5441","4bc9f99ab6c49c74f8678f91",45.457157,-73.56751,"Pizza","Food","Rex Pizza",10,36,"Verdun-Centre","Verdun"
"5442","4bf057d3a09076b048b129d4",45.592228,-73.54339,"Pet Store","Shops & Services","Safari Versailles",54,90,"Louis-Riel","Mercier–Hochelaga-Maisonneuve"
"5443","4dfb64be2271baece242df96",45.46662,-73.541275,"French","Food","Le Pied A  Terre",52,93,"Ile-des-Soeurs","Verdun"
