"","venue_id","lat","lon","cat","top_cat","name","users","checkins","nom_qr","nom_arr"
"1","4b527439f964a5200a7e27e3",45.507996,-73.55953,"Vietnamese","Food","Pho Cali",167,274,"René-Lévesque","Ville-Marie"
"2","4bc47682461576b0d3e87f32",45.54171,-73.6754,"Grocery Store","Shops & Services","Loblaws",81,282,"Nicolas-Viel","Ahuntsic-Cartierville"
"3","4c005c70379020a12b64467f",45.52562,-73.62887,"Greek","Food","Elatos Souvlaki",7,9,"Parc-Extension","Villeray–Saint-Michel–Parc-Extension"
"5","4c5d87697f661b8d68814b1c",45.50271,-73.553894,"French","Food","L'Arrivage",62,121,"Vieux-Montréal","Ville-Marie"
"6","4cf9057201568cfa90bc23e7",45.540985,-73.61387,"Arts & Crafts","Shops & Services","Ultra Text Inc",3,9,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"7","4c0a744ba1b32d7fa04c99f0",45.71529,-73.511215,"Apparel","Shops & Services","Mexx",16,21,NA,NA
"8","4b774956f964a520f38e2ee3",45.530384,-73.554085,"Performing Arts","Arts & Entertainment","Espace Libre",74,110,"Sainte-Marie","Ville-Marie"
"9","4ad4c06ff964a5202ffb20e3",45.49784,-73.57533,"Department Store","Shops & Services","La Maison Ogilvy",851,1711,"René-Lévesque","Ville-Marie"
"11","4ae764ccf964a520ebaa21e3",45.534275,-73.618645,"Italian","Food","Mikes",60,478,"Saint-Édouard","Rosemont–La Petite-Patrie"
"13","4b089701f964a520040f23e3",45.520763,-73.608154,"Gourmet","Shops & Services","Les 5 Saisons",105,448,"Outremont","Outremont"
"14","4ad4c06df964a5205bfa20e3",45.50794,-73.56056,"Chinese","Food","La Maison V.I.P",209,339,"René-Lévesque","Ville-Marie"
"15","4d5f18e6b19fa143a5cfe2c8",45.477142,-73.61507,"Diner","Food","Ambre",16,20,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"16","4b1e7102f964a520fe1924e3",45.552013,-73.56569,"Kids Store","Shops & Services","Rose ou Bleu",86,159,"Petite-Côte","Rosemont–La Petite-Patrie"
"19","4c53a0b4728920a135106581",45.519287,-73.55549,"Steakhouse","Food","Le Steak frites St-Paul",671,1102,"Sainte-Marie","Ville-Marie"
"20","4cc200d2b2beb1f7390b0d4c",45.51968,-73.55491,"Steakhouse","Food","Sablo Steak & Bar a Huitres",8,8,"Sainte-Marie","Ville-Marie"
"22","4df1637018386ecb4e279151",45.546795,-73.639275,"Sushi","Food","Sushi Maniyori",1,1,"Saint-Sulpice","Ahuntsic-Cartierville"
"25","4e1ecc3f62e19e27e24d008e",45.50767,-73.552444,"Road","Travel & Transport","Rue Saint-Paul",30,44,"Vieux-Montréal","Ville-Marie"
"26","4ca0b1950e9bb1f79d96fa5f",45.49655,-73.58093,"Medical","Professional & Other Places","Metro Medic Clinique",71,106,"René-Lévesque","Ville-Marie"
"27","4b678f16f964a52036552be3",45.55724,-73.72532,"Sushi","Food","Kanda",84,140,NA,NA
"28","4d84e7455e70224b3ccc1609",45.457203,-73.75188,"Gate","Travel & Transport","Air Canada- Usa Baggage Drop",43,57,"Dorval",NA
"29","4ba2b4f8f964a5201e1238e3",45.525597,-73.612236,"Coworking Space","Professional & Other Places","Made of Stills",12,47,"Mile End","Le Plateau-Mont-Royal"
"30","4bb525de2ea19521b911aa2f",45.4751,-73.642,"Desserts","Food","Baskin Robbins",36,49,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"31","4dc4456d1f6ef43b89f7ea36",45.464325,-73.830505,"Shops","Shops & Services","Pandora Fairview",12,30,"Pointe-Claire",NA
"33","4bed2d5791380f47607e9f18",45.467655,-73.59965,"Road","Travel & Transport","Achangeur Turcot",194,1415,"Saint-Henri","Le Sud-Ouest"
"37","4e08aecc62e100e581770533",45.468876,-73.53908,"Pool","Outdoors & Recreation","YP Resort",20,118,"Ile-des-Soeurs","Verdun"
"38","4bc73cfd8b7c9c74c30536cf",45.500816,-73.56377,"Coffee Shop","Food","La Petite Cloche",29,503,"René-Lévesque","Ville-Marie"
"40","4de5e6798877a085f8bc935f",45.557056,-73.547905,"Coworking Space","Professional & Other Places","Jaysaid. Headquarters",1,5,"Maisonneuve","Mercier–Hochelaga-Maisonneuve"
"42","4b8ac094f964a5209a7e32e3",45.5951,-73.57044,"Food & Drink","Shops & Services","Bonanza",44,141,"Grande-Prairie","Saint-Léonard"
"45","4bcb29b6fb84c9b6d9381e3e",45.708046,-73.62211,"Bowling Alley","Arts & Entertainment","Salon de Quilles Grande AllAe",27,34,NA,NA
"47","4b5a36e9f964a520c0b428e3",45.50008,-73.48711,"Brewery","Food","bistro des bieres belges",93,169,NA,NA
"49","4b198f4bf964a52087df23e3",45.595943,-73.53498,"Sushi","Food","Nippori Sushi",24,72,"Tétreaultville","Mercier–Hochelaga-Maisonneuve"
"51","4dea42dec65be8091da04147",45.3374,-73.28916,"Automotive","Shops & Services","Voie Rapide",2,6,NA,NA
"52","4c2665efa852c928e996e66c",45.526375,-73.5355,"Theme Park","Arts & Entertainment","Le Goliath",181,227,"Vieux-Montréal","Ville-Marie"
"54","4d80f38e208a5481215b7e67",45.607147,-73.613945,"Video Games","Shops & Services","EB Games MontrAal-Nord",8,28,"Est","Montréal-Nord"
"55","4adcd6fef964a5205e3021e3",45.560947,-73.54712,"Subway","Travel & Transport","STM Station Viau",236,1319,"Maisonneuve","Mercier–Hochelaga-Maisonneuve"
"56","4c50e024375c0f47a3f10193",45.5191,-73.572685,"Bike","Travel & Transport","Station BIXI",19,69,"Saint-Louis","Le Plateau-Mont-Royal"
"57","4bfe16f38992a593d619adb0",45.479115,-73.58197,"Strip Club","Nightlife Spots","Montreal Strip Club",37,53,"Saint-Henri","Le Sud-Ouest"
"58","4b7487d4f964a5202ae22de3",45.543663,-73.62883,"Pharmacy","Shops & Services","Pharmacie Jean Coutu",78,234,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"59","4c4e433651c2c92893e3129e",45.45798,-73.571594,"Pizza","Food","Pizza Mory",12,13,"Verdun-Centre","Verdun"
"61","4de7aff2fa763961426d0864",45.508167,-73.55408,"Bike shop","Shops & Services","Station BIXI",11,30,"Vieux-Montréal","Ville-Marie"
"63","4bc12eb02a89ef3b7c03f288",45.56697,-73.539085,"Racetrack","Arts & Entertainment","Action500 Karting",101,112,"Longue-Pointe","Mercier–Hochelaga-Maisonneuve"
"64","4bf738355317a593eac2fd7e",45.51119,-73.5824,"Field","Outdoors & Recreation","Forbes Field",41,98,"Montagne","Ville-Marie"
"65","4e7236231520cc03b4d5cb65",45.50385,-73.56866,"Convention Center","Professional & Other Places","En ville sans ma voiture!",4,8,"René-Lévesque","Ville-Marie"
"67","4d10e4f8c3dc3704923e3c74",45.53554,-73.50792,"Sushi","Food","Kinja Matsuya Sushi Restaurant",10,29,NA,NA
"68","4c13d6a0a9c220a1797e569d",45.611904,-73.58193,"Coffee Shop","Food","Tim Hortons",64,270,"Anjou","Anjou"
"69","4c14debba9c220a18a25589d",45.56803,-73.555916,"Golf Course","Outdoors & Recreation","Golf Municipal de Montreal",65,197,"Marie-Victorin","Rosemont–La Petite-Patrie"
"72","4b563d01f964a520df0628e3",45.484337,-73.63072,"Sushi","Food","Sushi Mou-Shi",78,108,"Snowdon","Côte-des-Neiges–Notre-Dame-de-Grâce"
"73","4c584cb430d82d7f68c3db62",45.50537,-73.563576,"Tobacco & Cigars","Shops & Services","La Tabagie (Complexe Desjardins)",10,24,"René-Lévesque","Ville-Marie"
"74","4e356969b61cddd1cd3cbba3",45.498722,-73.57957,"Art Museum","Arts & Entertainment","MusAe des Beaux Arts de MontrAal (MBAM)",840,999,"René-Lévesque","Ville-Marie"
"77","4ca9e5e09f4776b09ed29a13",45.49583,-73.57938,"Automotive","Shops & Services","VitroPlus Ziebart Lasalle",1,1,"René-Lévesque","Ville-Marie"
"78","4b68cac7f964a5202f8d2be3",45.483307,-73.59005,"Academic Building","Colleges & Universities","Westmount High School",16,74,"Westmount",NA
"80","4ae5cdebf964a52026a221e3",45.515842,-73.55984,"Government","Professional & Other Places","SociAtA de l'assurance automobile du QuAbec",281,317,"René-Lévesque","Ville-Marie"
"84","4c143acaa9c220a1c14b579d",45.754078,-73.44084,"Department Store","Shops & Services","Chamard",19,125,NA,NA
"85","4d3a1767fa736ea886ad128a",45.57405,-73.64847,"Asian","Food","sushi fleury",7,17,"La Visitation","Ahuntsic-Cartierville"
"86","4b7dc3c4f964a52034d32fe3",45.50155,-73.593185,"Historic Site","Arts & Entertainment","Maison Smith",84,112,"Montagne","Ville-Marie"
"87","4db762becda18a0b60a3805a",45.481525,-73.79836,"Steakhouse","Food","Towne Hall",84,100,"Pointe-Claire",NA
"88","4e0bacd1fa7672934eceec52",45.69263,-73.63532,"Bar","Nightlife Spots","Bar Le Mctavish",48,80,NA,NA
"90","4b0b5be6f964a520cb3023e3",45.559917,-73.68239,"Coffee Shop","Food","Presse CafA",60,332,NA,NA
"91","4b8bf3f0f964a52065b432e3",45.497307,-73.57917,"University","Colleges & Universities","ECA Office, H-838",11,60,"René-Lévesque","Ville-Marie"
"92","4c031762310fc9b6eb80c561",45.520393,-73.55425,"Vietnamese","Food","Le GoAt du ViAat Nam",49,76,"Sainte-Marie","Ville-Marie"
"93","4bfe605bbf6576b05f8daeb8",45.35684,-73.29907,"Grocery Store","Shops & Services","MarchA IGA Perreault et GAlinas Inc",29,99,NA,NA
"94","4ceabd2cd99f721e3429bd73",45.500343,-73.5086,"Doctor's Office","Professional & Other Places","PSL",1,2,NA,NA
"95","4bdc92a0afe8c9b6ae0e5085",45.566936,-73.654175,"Liquor Store","Shops & Services","SAQ Classique",53,143,"Sault-au-Récollet","Ahuntsic-Cartierville"
"96","4bc90e66cc8cd13a79febacf",45.51962,-73.615425,"Music Venue","Arts & Entertainment","ThAAtre Outremont",26,46,"Outremont","Outremont"
"98","4bbb5dad98c7ef3b2a0a3402",45.512527,-73.561615,"Mediterranean","Food","Basha UQAM",18,33,"René-Lévesque","Ville-Marie"
"100","4ad4c06ef964a520c0fa20e3",45.52464,-73.57568,"French","Food","Au 917",52,62,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"101","4be078294c55b6515072eab7",45.508865,-73.554245,"Hotel","Travel & Transport","Hotel Stay Centre Ville Montreal",1,3,"Vieux-Montréal","Ville-Marie"
"102","4e723582183867734350b99b",45.54446,-73.60549,"Coworking Space","Professional & Other Places","Analystik",3,12,"Père-Marquette","Rosemont–La Petite-Patrie"
"103","4bd9b54f5f50b7138a20e0d1",45.484158,-73.795746,"Sushi","Food","Maiko Sushi",118,225,"Dollard-Des Ormeaux",NA
"104","4c546f5a4623be9a525ccaf2",45.514008,-73.5728,"Bakery","Food","Au Pain DorA",89,179,"Saint-Louis","Le Plateau-Mont-Royal"
"105","4bec8ee9c43f2d7fdd1adcd9",45.45362,-73.5947,"Pharmacy","Shops & Services","Pharmacie Jean Coutu",37,97,"Ville-Émard","Le Sud-Ouest"
"106","4c0444a5187ec9286ddab67b",45.441124,-73.72908,"Italian","Food","Restaurant Natalino",14,18,"Dorval",NA
"109","4d88c4a74757721e37269469",45.506462,-73.55636,"Sandwiches","Food","CafA Bistro Mon Plaisir",69,102,"Vieux-Montréal","Ville-Marie"
"110","4e24aadefa76c80b5f59532d",45.51586,-73.55919,"Asian","Food","Thai Delight",8,37,"René-Lévesque","Ville-Marie"
"111","4d93b8ddeed28eeccfa55661",45.50465,-73.561,"Convention Center","Professional & Other Places","Salon eCom MontrAal",39,63,"René-Lévesque","Ville-Marie"
"114","4ca7e23ef47ea14388976f21",45.51406,-73.57291,"Nightclub","Nightlife Spots","Up Club",80,296,"Saint-Louis","Le Plateau-Mont-Royal"
"115","4c7eeb14fb13a1cd9a3c9fa4",45.52502,-73.559975,"Beer Garden","Nightlife Spots","Citibar",32,55,"Sainte-Marie","Ville-Marie"
"116","4d4dbd7f1a2d721e6fc99a1d",45.5352,-73.65442,"Arts & Crafts","Shops & Services","Omers De Serres",7,9,"Nouveau-Bordeaux","Ahuntsic-Cartierville"
"118","4c17e9bc2cddb713dd10831e",45.500576,-73.56842,"Hotel Bar","Nightlife Spots","Les Voyageurs",41,62,"René-Lévesque","Ville-Marie"
"119","4ad7ee3bf964a520281021e3",45.50772,-73.566185,"Art Museum","Arts & Entertainment","MusAe d'art contemporain de MontrAal (MACM)",901,1062,"René-Lévesque","Ville-Marie"
"120","4bf2dc4c98ac0f47053a62a8",45.495926,-73.61962,"Moroccan","Food","Farhat",27,76,"Édouard-Montpetit","Côte-des-Neiges–Notre-Dame-de-Grâce"
"124","4df00c36d22d43368715cb86",45.618237,-73.548,"Soccer Field","Outdoors & Recreation","Parc Roger-Rousseau",4,4,"Anjou","Anjou"
"125","4bba3cce3db7b7133211239a",45.51518,-73.49052,"Automotive","Shops & Services","Suzuki Longueuil Automobiles IncVoitures Neuves",7,12,NA,NA
"127","4ad4c06cf964a52034fa20e3",45.496902,-73.57495,"Indian","Food","Trattoria Trestevere",20,21,"René-Lévesque","Ville-Marie"
"128","4d5f0a4029ef236a17e39359",45.465164,-73.645065,"Pharmacy","Shops & Services","Depanneur Au coin",4,10,"Loyola","Côte-des-Neiges–Notre-Dame-de-Grâce"
"130","4c1d2ea4b306c928782265b7",45.53817,-73.61415,"Grocery Store","Shops & Services","MarchA Oriental",74,149,"Saint-Édouard","Rosemont–La Petite-Patrie"
"131","4becff47e3562d7f1e76fef8",45.48431,-73.809,"Library","Colleges & Universities","Dollard-des-Ormeaux Public Library",35,78,"Dollard-Des Ormeaux",NA
"133","4bed60019868a5932e435d46",45.42022,-73.98408,"Bridge","Outdoors & Recreation","Pont de l'Ale-aux-Tourtes",162,1013,NA,NA
"135","4b983d11f964a5206b3635e3",45.47989,-73.57689,"Gourmet","Shops & Services","Les Douceurs du MarchA",56,118,"Saint-Henri","Le Sud-Ouest"
"136","4bdb00f7c79cc928309b80e9",45.310017,-73.25248,"Bar","Nightlife Spots","Pub Glen Morgan",62,130,NA,NA
"137","4bc1ea39abf49521cd99c193",45.49989,-73.560555,"Home","Residences","Lowney 1",12,61,"Vieux-Montréal","Ville-Marie"
"140","4c200c14eac020a17d124cc2",45.523952,-73.58293,"Road","Travel & Transport","Avenue du Mont-Royal",218,978,"Mile End","Le Plateau-Mont-Royal"
"141","4b9b511af964a520160036e3",45.520134,-73.5764,"French","Food","La Prunelle",82,87,"Saint-Louis","Le Plateau-Mont-Royal"
"142","4c487ee9889fc9b6a1722334",45.49862,-73.57198,"Rental Car","Travel & Transport","Alamo Car Rentals",32,59,"René-Lévesque","Ville-Marie"
"144","4bede83ee24d20a127377214",45.507324,-73.571686,"Hotel Bar","Nightlife Spots","Ace Grill Bar",135,255,"René-Lévesque","Ville-Marie"
"147","4ae4a6b9f964a520bb9c21e3",45.52183,-73.60131,"Shoes","Shops & Services","Mile End Kicks (MEK)",55,81,"Mile End","Le Plateau-Mont-Royal"
"149","4c72e9e91b11199c5a6e5c13",45.524933,-73.559296,"Flea Market","Shops & Services","SociAtA Saint-Vincent-de-Paul de MontrAal",7,9,"Sainte-Marie","Ville-Marie"
"150","4bed8ccf1d5576b082abbeea",45.487442,-73.58701,"French","Food","La Taverne",10,38,"Westmount",NA
"151","4e37fcf6483bda3eb1163265",45.53727,-73.56351,"Music Store","Shops & Services","Timpano-percussion",6,23,"Lorimier","Le Plateau-Mont-Royal"
"154","4c4e0d7ef53d0f47b259f2a5",45.469574,-73.6284,"Pet Store","Shops & Services","Clinique VAtArinaire Monkland",9,27,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"155","4d6e8fde03cba35d53be23f5",45.52341,-73.58173,"Board Shop","Shops & Services","Ocean",34,43,"Saint-Louis","Le Plateau-Mont-Royal"
"156","4d2faa30789a8cfafc8727c6",45.498676,-73.70723,"Greek","Food","Kojax Souflaki Cote Vertu",17,71,"Bois-Francs","Saint-Laurent"
"158","4ba64f08f964a520bd4439e3",45.428745,-73.59224,"Park","Outdoors & Recreation","Parc des Rapides",95,143,NA,NA
"160","4b604778f964a52067dd29e3",45.510017,-73.56379,"Performing Arts","Arts & Entertainment","La Vitrine culturelle de MontrAal",102,205,"René-Lévesque","Ville-Marie"
"163","4adb8f80f964a520fd2821e3",45.52845,-73.57875,"Bar","Nightlife Spots","Barraca Rhumerie & Tapas",839,1648,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"164","4d0fa4e5cf09a1431bb9260f",45.598606,-73.610695,"Dentist's Office","Professional & Other Places","Dentiste Christian Bertrand",1,4,"Grande-Prairie","Saint-Léonard"
"167","4b102a15f964a5205c6a23e3",45.501053,-73.56218,"Subway","Travel & Transport","STM Station Square-Victoria",484,3540,"Vieux-Montréal","Ville-Marie"
"168","4ad77e6df964a5206d0b21e3",45.452816,-73.74079,"Hotel","Travel & Transport","Aloft MontrAal Airport",259,520,"Dorval",NA
"171","4be4da982457a5939de6aa15",45.44597,-73.738884,"Hotel","Travel & Transport","Holiday Inn Express",8,90,"Dorval",NA
"172","4e236797ae6015b212ba25ce",45.457344,-73.66586,"Home","Residences","Bubby's house",1,2,"Côte-Saint-Luc",NA
"173","4bf2d655e5eba5931cdd1d90",45.52982,-73.62054,"Government","Professional & Other Places","Emploi-QuAbec",8,9,"Parc-Extension","Villeray–Saint-Michel–Parc-Extension"
"174","4ad4c06af964a52006f920e3",45.497765,-73.57705,"Lounge","Nightlife Spots","Winnie's",154,250,"René-Lévesque","Ville-Marie"
"178","4ae49685f964a520fe9b21e3",45.521626,-73.60162,"Library","Colleges & Universities","BibliothA que du Mile-End",44,122,"Mile End","Le Plateau-Mont-Royal"
"179","4ccd73ec2dc43704e471ce08",45.43756,-73.443085,"Automotive","Shops & Services","Canadian Tire",153,388,NA,NA
"180","4bbe89a998f495219079d163",45.5436,-73.632385,"Video Store","Shops & Services","La boite video",27,71,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"182","4dd163daae603b786d759377",45.502346,-73.55944,"Tech Startup","Professional & Other Places","Novactive Canada Inc.",6,237,"Vieux-Montréal","Ville-Marie"
"189","4ca25f0e750ca093afb40f67",45.455242,-73.75518,"Gate","Travel & Transport","Gate 88",97,115,"Dorval",NA
"190","4ad4c06af964a52013f920e3",45.516342,-73.57775,"Ice Cream","Food","Ripples",117,184,"Saint-Louis","Le Plateau-Mont-Royal"
"191","4aea2cf5f964a52001ba21e3",45.522377,-73.57782,"Burgers","Food","Frite Alors!",320,495,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"192","4ad4c06af964a520ebf820e3",45.5041,-73.55433,"Hotel","Travel & Transport","HA tel Nelligan",543,942,"Vieux-Montréal","Ville-Marie"
"194","4ad4c06ef964a520e7fa20e3",45.551342,-73.534035,"Concert Hall","Arts & Entertainment","ThAAtre Denise-Pelletier",93,159,"Maisonneuve","Mercier–Hochelaga-Maisonneuve"
"195","4b622286f964a520c0372ae3",45.52644,-73.58985,"Grocery Store","Shops & Services","MarchA Laurier",93,379,"Mile End","Le Plateau-Mont-Royal"
"196","4cdb62d65aeda1cd06f0bc11",45.49946,-73.57385,"Tech Startup","Professional & Other Places","Recoset HQ",5,87,"René-Lévesque","Ville-Marie"
"198","4b204c0df964a5202d3024e3",45.483784,-73.80472,"Grocery Store","Shops & Services","IGA",92,411,"Dollard-Des Ormeaux",NA
"199","4defe3efc65b0270f3a0ff0c",45.496895,-73.55916,"Bus Station","Travel & Transport","ArrAat MAtropolitain",6,66,"Petite-Bourgogne","Le Sud-Ouest"
"201","4d45e587befe236a95b303e3",45.489586,-73.80115,"Pharmacy","Shops & Services","Pharmaprix",40,178,"Dollard-Des Ormeaux",NA
"204","4bdcf0478f53d13a72a7eb8f",45.530403,-73.60396,"Bar","Nightlife Spots","Taverna VV  Bar",55,80,"Saint-Édouard","Rosemont–La Petite-Patrie"
"205","4cd6d315886cb60cddd38b89",45.60143,-73.56474,"Pharmacy","Shops & Services","Pharmacie Jean Coutu",11,19,"Anjou","Anjou"
"207","4c31ed71ed37a5937cfb6a03",45.537457,-73.57083,"Grocery Store","Shops & Services","Metro",161,731,"Lorimier","Le Plateau-Mont-Royal"
"208","4bef098cea570f47e5d08ed2",45.521603,-73.578125,"Apparel","Shops & Services","Mexx",52,56,"Saint-Louis","Le Plateau-Mont-Royal"
"209","4b5c8edef964a5207f3629e3",45.508167,-73.55937,"Dim Sum","Food","Tong Sing",76,120,"René-Lévesque","Ville-Marie"
"210","4b4bacfdf964a520aba326e3",45.577583,-73.68157,"Doctor's Office","Professional & Other Places","Polyclinique MAdicale Concorde",73,97,NA,NA
"211","4b4ea1d6f964a52004f326e3",45.527946,-73.57937,"Bar","Nightlife Spots","Chez Baptiste",548,1084,"Parc-Laurier","Le Plateau-Mont-Royal"
"212","4e594fca483b865169dd863c",45.720695,-73.5092,"Professional & Other Places","Professional & Other Places","Dans Mon Salon!!!",2,41,NA,NA
"213","4bcd1d55cc8cd13aea3ec2cf",45.493637,-73.6536,"Fast Food","Food","Burger King",92,117,"Savane","Côte-des-Neiges–Notre-Dame-de-Grâce"
"215","4c9d044f9975a14399aa37cf",45.553192,-73.58059,"Sandwiches","Food","Subway",9,14,"Étienne Desmarteaux","Rosemont–La Petite-Patrie"
"216","4ad4c06ff964a52032fb20e3",45.500412,-73.57352,"Men's Store","Shops & Services","Harry Rosen",115,205,"René-Lévesque","Ville-Marie"
"218","4d28b224068e8cfacd41c84c",45.507145,-73.561264,"Chinese","Food","Dobe & Andy's",43,245,"René-Lévesque","Ville-Marie"
"221","4be10ebbd816c9283f3fefd9",45.53655,-73.61502,"Butcher","Shops & Services","Les Cochons tout Ronds",26,33,"Saint-Édouard","Rosemont–La Petite-Patrie"
"222","4c9661fb58d4b60c28943a29",45.453518,-73.56773,"Seafood","Food","Les Iles en ville",18,21,"Desmarchais-Crawford","Verdun"
"224","4bdeebbcffdec9281517eaa1",45.50984,-73.6615,"Road","Travel & Transport","40 East bound",31,50,"Mont-Royal",NA
"225","4b774b9df964a520bc8f2ee3",45.507694,-73.55429,"Coffee Shop","Food","CafA Aquitasse",126,294,"Vieux-Montréal","Ville-Marie"
"227","4be2efe5660ec928c9a0ca3b",45.453056,-73.85994,"Government","Professional & Other Places","CAA Quebec",5,5,"Kirkland",NA
"228","4cf4abca1c158cfaf8ece4b5",45.539318,-73.63113,"Home","Residences","Manoir de L'Aristocrate",1,69,"Parc-Jarry","Villeray–Saint-Michel–Parc-Extension"
"229","4ad4c06df964a52098fa20e3",45.503883,-73.56868,"French","Food","Grand Comptoir (Le)",104,215,"René-Lévesque","Ville-Marie"
"230","4c3b568462f1c928745b8f53",45.466087,-73.82723,"Automotive","Shops & Services","Lebeau Vitres d'autos - Pointe-Claire",7,15,"Pointe-Claire",NA
"231","4e5d2412fa76a4cf148f3335",45.540768,-73.50957,"Home","Residences","Loft St-Charles",3,7,NA,NA
"233","4ccee81497d0224bc46b6eb8",45.563023,-73.60773,"Asian","Food","VY Express",21,61,"François-Perrault","Villeray–Saint-Michel–Parc-Extension"
"235","4ddef0beb0fbefa198ba711e",45.496082,-73.57934,"Fast Food","Food","A&W",192,438,"René-Lévesque","Ville-Marie"
"236","4ba51c2cf964a52080de38e3",45.498062,-73.5747,"Apparel","Shops & Services","Mavi Jeans",22,23,"René-Lévesque","Ville-Marie"
"237","4c117967416620a15b31d9e4",45.524563,-73.582565,"Bike","Travel & Transport","Station BIXI Devinci",36,185,"Parc-Laurier","Le Plateau-Mont-Royal"
"238","4dea8be9d22da22d4ed725c1",45.54624,-73.5466,"Home","Residences","BOUGONLAND! HO-MA",2,20,"Préfontaine","Mercier–Hochelaga-Maisonneuve"
"240","4c0161cf58dbc928e33eee6b",45.52099,-73.59729,"Convenience Stores","Shops & Services","Varietes Delphi",20,151,"Mile End","Le Plateau-Mont-Royal"
"242","4e21a7c452b1f82ffba06481",45.47863,-73.61326,"Home","Residences","Casa de Ligia",1,16,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"243","4e370042b0fb7bd3593a09e6",45.57524,-73.613335,"Boutique","Shops & Services","Armand Coltrane",1,3,"Sainte-Lucie","Villeray–Saint-Michel–Parc-Extension"
"244","4e1635bd1f6eb653a5e4c996",45.560234,-73.5565,"Garden","Outdoors & Recreation","Rosearie",1,1,"Marie-Victorin","Rosemont–La Petite-Patrie"
"246","4e57d9bee4cd6acbd761b99e",45.52,-73.59673,"Vietnamese","Food","Chez ViAat",9,14,"Mile End","Le Plateau-Mont-Royal"
"247","4ad4c06ef964a520b7fa20e3",45.52268,-73.58007,"Swiss","Food","Fonduementale",90,94,"Parc-Lafontaine","Le Plateau-Mont-Royal"
"248","4b1eda3df964a520872024e3",45.57252,-73.68905,"French","Food","Au Biniou restaurant",28,77,NA,NA
"251","4b81a00ef964a52090b330e3",45.536167,-73.61604,"Wine Shop","Shops & Services","SAQ",159,376,"Saint-Édouard","Rosemont–La Petite-Patrie"
"252","4b4a257ef964a520457c26e3",45.447456,-73.61522,"Record Shop","Shops & Services","HMV",66,148,"Cecil-P.-Newman","LaSalle"
"254","4b818a90f964a520adad30e3",45.59179,-73.53602,"Grocery Store","Shops & Services","Loblaws",155,655,"Longue-Pointe","Mercier–Hochelaga-Maisonneuve"
"257","4d56ecc5ba5b224bd82b2114",45.502457,-73.56978,"Jewelry","Shops & Services","La Swiss",6,7,"René-Lévesque","Ville-Marie"
"258","4bc2378d74a9a593d3f9d2f6",45.507706,-73.56044,"Asian","Food","Bonbons A  la Barbe de Dragon",28,34,"René-Lévesque","Ville-Marie"
"259","4c45ffa237f6d13abbd06196",45.7356,-73.45042,"Medical","Professional & Other Places","Duval Gravel Bergeron Chiropraticiens",1,4,NA,NA
"262","4d30450f236aa143008a52eb",45.517696,-73.55004,"Home","Residences","Nikki Condo",1,2,"Sainte-Marie","Ville-Marie"
"263","4bc6728df360ef3bcad2db2d",45.506706,-73.822014,"Sports Bar","Nightlife Spots","Club De Billard Le Skratch",60,131,"Pierrefonds-Est","Pierrefonds-Roxboro"
"265","4da538a7cda1c55f75523889",45.536053,-73.61006,"Strip Club","Nightlife Spots","Gentlemen Choice",6,9,"Saint-Édouard","Rosemont–La Petite-Patrie"
"266","4e38975545dd9ef03f0ea54b",45.479794,-73.54681,"Light Rail","Travel & Transport","Via Train 48",0,0,"Pointe-Saint-Charles","Le Sud-Ouest"
"267","4b1c0f58f964a520680124e3",45.47933,-73.60306,"Bakery","Food","Patisserie de Gascogne",107,244,"Westmount",NA
"269","4c0eae3398102d7fd10ce406",45.48586,-73.79784,"Pharmacy","Shops & Services","Jean Coutu",51,141,"Dollard-Des Ormeaux",NA
"270","4bbf4af482a2ef3b2d7e2cd2",45.508297,-73.56151,"Chinese","Food","New Dynasty",207,318,"René-Lévesque","Ville-Marie"
"272","4ba431f2f964a520ef8a38e3",45.494526,-73.79731,"Other Outdoors","Outdoors & Recreation","Dollard-des-Ormeaux",47,354,"Dollard-Des Ormeaux",NA
"273","4cdc5d7b4006a143f849deb2",45.427612,-73.648125,"Bus","Travel & Transport","Stm Terminus Arlie Lafleur",9,36,"Sault-Saint-Louis","LaSalle"
"274","4d5a18e51d4a8cfa2f5694ed",45.530724,-73.55053,"Event Space","Professional & Other Places","Poupart Palace",5,17,"Sainte-Marie","Ville-Marie"
"275","4b493885f964a520806a26e3",45.490967,-73.58258,"Korean","Food","Restaurant Bulgogi",177,288,"Montagne","Ville-Marie"
"276","4e6fa0858998fd5c56bf9b0e",45.526764,-73.58955,"Women's Store","Shops & Services","Une Ale en AmArique",6,7,"Mile End","Le Plateau-Mont-Royal"
"277","4c8e660d1992a1cd0279ddfb",45.539062,-73.5096,"Asian","Food","Asiana",11,17,NA,NA
