venue_id,lat,lon,cat,top_cat,name,users,checkins
4cf6d6dc9d11b1f785c2c2ed,45.540054,-73.54362,Other - Shop,,Antre A  Gobeline,3,25
4cd55222122ba143e6222ba1,45.44506,-73.81317,Gym ' Fitness,,Ballet Ouest de Montreal,10,69
4cfaf855d8468cfacfa9f16b,45.53409,-73.57346,French,Food,Restaurant Les HAritiers,186,219
4d4cc5fe9aaab60c4f063129,45.520073,-73.59087,uncategorized,,Belated Birthday Party,1,1
4e419a10b0fb9728fa10a32e,45.717583,-73.47137,uncategorized,,JEAN COUTU REPENTIGNY 155 NOTRE-DAME,12,48
4bae0f02f964a5208a7f3be3,45.430115,-73.82369,Ice Cream,Food,Wild Willy's,112,176
4ad4c06ef964a52017fb20e3,45.56299,-73.55264,Soccer,Arts & Entertainment,Stade Saputo,688,1216
4bca35b00687ef3be390dbcc,45.53199,-73.65087,Greek,Food,Ellada Restaurant,10,13
4dc589f42271f270512fac7c,45.53846,-73.59316,Skate Park,Outdoors & Recreation,Skatepark PA re-Marquette,10,26
4dadad014b2271d46bab1593,45.51178,-73.56927,Hotel,Travel & Transport,Suite prAsidentielle,3,14
4d81178f360b224bde8be656,45.535984,-73.58009,Beauty ' Cosmetic,,Tchop Coiffure,14,67
4ee8f08e2c5b49765ee948df,45.67079,-73.42877,Water Park,Arts & Entertainment,Complexe Aquatique De Varennes,10,16
4b6c3b81f964a520e62a2ce3,45.515152,-73.56148,Donuts,Food,Dunkin' Donuts,78,349
4e038e9dcc3f560369583b53,45.46007,-73.63539,Korean,Food,Restaurant Damoa,7,15
4bd9c6f80115c9b6bda47880,45.496025,-73.56999,Hookah Bar,Nightlife Spots,Habs Zone,45,147
4d26609bfb8e59411c934a54,45.50086,-73.55746,uncategorized,,Salubri,1,2
4ad4c06af964a5200ff920e3,45.51241,-73.56224,Beer Garden,Nightlife Spots,Le Sainte-Alisabeth,1840,3693
4e0fc6f162843e04afb8ec88,45.5224,-73.577644,Bar,Nightlife Spots,L'Acurie Bar et Table,411,660
4e1632c1d1649878a8efe815,45.51956,-73.55518,Middle Eastern,Food,Lallouz,94,175
4b5b78bdf964a520c70029e3,45.496407,-73.62241,Coffee Shop,Food,Starbucks,306,1040
4cd9bec88728721e18d81389,45.51842,-73.61308,Other - Education,,Acole Guy-Drummond,4,11
4ba5161ff964a52020db38e3,45.553772,-73.663925,Donuts,Food,CafA Lajeunessse,3,3
4c65d5b19cb82d7f2f138fd2,45.444016,-73.61641,Electronics,Shops & Services,MicroBytes,26,43
4e17911db61c8f9ada42c737,45.523598,-73.5898,Arts & Entertainment,Arts & Entertainment,CLICHA Headquarters,2,14
4d6aa3c74395a1cd51129e73,45.450603,-73.78761,Toys & Games,Shops & Services,Funky Toys,5,24
4b8e613cf964a520e71f33e3,45.489773,-73.58651,Coffee Shop,Food,Tim Hortons,92,178
4e34540f52b17fb1c5fc0dac,45.51919,-73.775185,uncategorized,,Port de plaisance de Pierrefonds Marina,8,42
4e20c7cdd22d0a3f59f16b4d,45.46248,-73.56924,Home,Residences,Maison du Egg Roll,11,16
4e73c4358998ed82a39e8aa9,45.435196,-73.84789,Shops,Shops & Services,Kane Train Station Pick-Up,8,17
4c75635766be6dcba744c00f,45.527718,-73.595314,Other - Buildings,,Studio Rodeo,9,11
4c6c5b1323c1a1cdff5919cf,45.522556,-73.58418,CafA,,Cafe Kahwa,179,399
4c3fb3c9cc410f4728a2a861,45.522068,-73.596,Moroccan,Food,The Khaima Mauritanian Restaurant,8,11
4bbf112330c99c74958d5411,45.51507,-73.55932,Newsstand,Shops & Services,Maison de la Presse Internationale,49,90
4c94e7c082b56dcb9b6bd3aa,45.5255,-73.58332,uncategorized,,Parc Berri - Bienville,10,40
4c86424151ada1cd635c3e10,45.495323,-73.57926,Arts & Crafts,Shops & Services,DeSerres,18,21
4e4a9da38877bebe848ff53d,45.518017,-73.55054,Bakery,Food,WLV1314,1,3
4b7c9406f964a520069c2fe3,45.512794,-73.71131,Golf Course,Outdoors & Recreation,golf challenger,60,79
4d25c57fbe99b60c3e21fa6e,45.53031,-73.61954,uncategorized,,Protocol Global Solutions,4,22
4d06e0ff28926ea87ddd77c2,45.510773,-73.63451,Home,Residences,Appartements Parc Royal,2,27
4df790f3b0fba21ee54f5e95,45.479195,-73.564316,Playground,Outdoors & Recreation,Carre Hibernia,8,34
4bfd9103f61dc9b6a1369fde,45.46409,-73.83156,Juice Bar,Food,Jugo Juice,43,87
4bd5fc0c4e32d13a8bdac180,45.527905,-73.47869,Dentist's Office,Professional & Other Places,Centre Dentaire LavallAe,23,47
4b22ddeef964a5201f4f24e3,45.50155,-73.569046,Office Supplies,Shops & Services,Essence du Papier,60,105
4e5e9ab7ae60a1cb36e099be,45.53817,-73.57449,Other - Buildings,,CPE St-louis,0,16
4dbf43a15da386e218aded83,45.535652,-73.5136,Other - Entertainment,,Superclub Videotron,10,41
4b8550f5f964a5203b5631e3,45.546673,-73.611374,uncategorized,,HKDP,11,419
4b744f9ef964a52054d42de3,45.61518,-73.62966,Bank ' Financial,,Caisse Populaire Desjardins de MontrAal-Nord,16,106
4ba4e231f964a520c4be38e3,45.425602,-73.93472,Museum,Arts & Entertainment,Eco MusAe,10,12
4c8f736bb3bcb60c01906127,45.49425,-73.66886,Corporate ' Office,,Dawcolectric,2,8
4c4cafbd172b76b0137906d1,45.47983,-73.88167,Park,Outdoors & Recreation,Parc Cardinal - Ile Bizard,2,5
